race_id,id,name,source_name,is_incumbent,party,img_url,color
3182,10079,Marilyn Anderson,MARILYN ANDERSON,False,,,#32AB34
3183,9803,Misty Janssen,MISTY JANSSEN,False,,,#F8BD0E
3183,9822,Susan Metcalf,SUSAN METCALF,False,,,#C7084D
3183,9878,Mike Nicosia,MIKE NICOSIA,False,,,#1096bf
3183,10069,Leandra Blades,LEANDRA BLADES,False,,,#32AB34
3192,9896,Edward Wong,*EDWARD WONG,True,,,#32AB34
3192,10153,Tricia Yee,TRICIA YEE,False,,,#F8BD0E
3194,9874,Benjamin Yu,BENJAMIN YU,False,,,#F8BD0E
3194,9976,Amanda Morrell,*AMANDA MORRELL,True,,,#32AB34
3201,9817,Carolyn Torres,*CAROLYN TORRES,True,,,#8e67a0
3201,9963,Cecilia Aguinaga,CECILIA AGUINAGA,False,,,#32AB34
3201,10117,Oscar Reyes,OSCAR REYES,False,,,#1096bf
3201,10259,Alfonso Alvarez,*ALFONSO ALVAREZ,True,,,#F8BD0E
3201,10270,Rigo Rodriguez,*RIGO RODRIGUEZ,True,,,#e47300
3201,10333,Judith Carrillo,JUDITH CARRILLO,False,,,#C7084D
3211,9841,Allyson M. Damikolas,ALLYSON M. DAMIKOLAS,False,,,#F8BD0E
3211,9876,Kirk O. Hahn,KIRK O. HAHN,False,,,#C7084D
3211,9941,Tammie K. Bullard,*TAMMIE K. BULLARD,True,,,#32AB34
3212,10094,Susan M. Stocks,SUSAN M. STOCKS,False,,,#F8BD0E
3212,10265,James H. Laird,*JAMES H. LAIRD,True,,,#32AB34
3241,9785,Susan Henry,*SUSAN HENRY,True,,,#F8BD0E
3241,9814,Michael Simons,*MICHAEL SIMONS,True,,,#8e67a0
3241,9840,Christine Hernandez,CHRISTINE HERNANDEZ,False,,,#C7084D
3241,9933,Spencer Hagaman,SPENCER HAGAMAN,False,,,#32AB34
3241,9954,Saul Lankster,SAUL LANKSTER,False,,,#1096bf
3241,10046,Claudia Ramos,CLAUDIA RAMOS,False,,,#e47300
3255,9790,Jose Paolo Magcalas,*JOSE PAOLO MAGCALAS,True,,,#F8BD0E
3255,10059,Lucille Kring,LUCILLE KRING,False,,,#32AB34
3266,10241,L Carole Jensen,L CAROLE JENSEN,False,,,#F8BD0E
3266,10304,Irene Castaneda,*IRENE CASTANEDA,True,,,#32AB34
3292,9780,Jeanne Galindo,*JEANNE GALINDO,True,,,#F8BD0E
3292,9909,Steve Schultz,STEVE SCHULTZ,False,,,#1096bf
3292,9923,Ian Collins,*IAN COLLINS,True,,,#32AB34
3292,10233,Tom Nguyen,TOM NGUYEN,False,,,#C7084D
3311,10058,Bridget Kaub,*BRIDGET KAUB,True,,,#32AB34
3311,10320,Roger S. Noor,ROGER S. NOOR,False,,,#F8BD0E
3322,9823,John Dobson,JOHN DOBSON,False,,,#32AB34
3322,9937,Susan M. Pritchard,SUSAN M. PRITCHARD,False,,,#C7084D
3322,9940,Ofelia Corona Hanson,OFELIA CORONA HANSON,False,,,#F8BD0E
3371,9916,David Johnson,DAVID JOHNSON,False,,,#32AB34
3371,10147,Angel Ramirez,ANGEL RAMIREZ,False,,,#F8BD0E
4001,9776,Andrew Do,*ANDREW DO,True,,https://vooc-election-results.s3-us-west-2.amazonaws.com/img/AndrewDo.png,#F8BD0E
4001,9777,Sergio Contreras,SERGIO CONTRERAS,False,,https://vooc-election-results.s3-us-west-2.amazonaws.com/img/SergioContreras.png,#32AB34
4903,9960,Richard Hurt,RICHARD HURT,False,,,#1096bf
4903,10056,Michael Winger,MICHAEL WINGER,False,,,#dc2e07
4903,10109,David Zero,DAVID ZERO,False,,,#5E5F8F
4903,10115,Michael W. Brown,MICHAEL W. BROWN,False,,,#32AB34
4903,10139,Ross Chun,*ROSS CHUN,True,,,#F8BD0E
4903,10150,Mike Munzing,*MIKE MUNZING,True,,,#e47300
4903,10373,Max Duncan,MAX DUNCAN,False,,,#C7084D
4903,10379,Greg J. Williams,GREG J. WILLIAMS,False,,,#8e67a0
5004,10002,Jose Diaz,JOSE DIAZ,False,,,#C7084D
5004,10090,Ryan Balius,RYAN BALIUS,False,,,#32AB34
5004,10324,Denise Barnes,*DENISE BARNES,True,,,#F8BD0E
5007,10055,Jeanine A. Robbins,JEANINE A. ROBBINS,False,,,#C7084D
5007,10274,Avelino Valencia,AVELINO VALENCIA,False,,,#1096bf
5007,10307,Julie Brunette,JULIE BRUNETTE,False,,,#32AB34
5007,10323,Annemarie Randle-Trejo,ANNEMARIE RANDLE-TREJO,False,,,#F8BD0E
5008,10006,Kenneth Batiste,KENNETH BATISTE,False,,,#32AB34
5008,10228,Steve Faessel,*STEVE FAESSEL,True,,,#F8BD0E
5008,10287,"Sabrina ""Sav"" Quezada","SABRINA ""SAV"" QUEZADA",False,,,#C7084D
5011,9995,Marty Simonoff,*MARTY SIMONOFF,True,,,#1096bf
5011,10014,Christine Marick,*CHRISTINE MARICK,True,,,#F8BD0E
5011,10015,Robyn Neufeld,ROBYN NEUFELD,False,,,#C7084D
5011,10149,Tyler Baugh,TYLER BAUGH,False,,,#32AB34
5014,9966,Bev Perry,BEV PERRY,False,,,#F8BD0E
5014,10366,Denise Eby,DENISE EBY,False,,,#32AB34
5025,9928,Sharon Smith,SHARON SMITH,False,,,#F8BD0E
5025,10099,Susan Sonne,SUSAN SONNE,False,,,#C7084D
5025,10231,Paul D. Gonzales,PAUL D. GONZALES,False,,,#32AB34
5026,9950,Donna Varona Sipl,DONNA VARONA SIPL,False,,,#F8BD0E
5026,10077,Arthur C. Brown,ARTHUR C. BROWN,False,,,#32AB34
5031,10253,Al Melone,AL MELONE,False,,,#1096bf
5031,10276,Katrina Foley,*KATRINA FOLEY,True,,,#32AB34
5031,10299,"Quentin ""Q"" Pullen","QUENTIN ""Q"" PULLEN",False,,,#e47300
5031,10321,Wendy Brooks Leece,WENDY BROOKS LEECE,False,,,#C7084D
5031,10342,"Sandra L. ""Sandy"" Genis","SANDRA L. ""SANDY"" GENIS",False,,,#F8BD0E
5032,10119,John Stephens,*JOHN STEPHENS,True,,,#C7084D
5032,10339,Don Harper,DON HARPER,False,,,#32AB34
5032,10341,Jason Komala,JASON KOMALA,False,,,#F8BD0E
5033,10021,Loren Gameros,LOREN GAMEROS,False,,,#F8BD0E
5033,10151,Ben Chapman,BEN CHAPMAN,False,,,#32AB34
5033,10279,Gary Parkin,GARY PARKIN,False,,,#C7084D
5039,10106,Jeffrey Harlan,JEFFREY HARLAN,False,,,#F8BD0E
5039,10159,Jeff Pettis,JEFF PETTIS,False,,,#C7084D
5039,10225,Hengameh Abraham,HENGAMEH ABRAHAM,False,,,#32AB34
5039,10338,Lee Ramos,LEE RAMOS,False,,,#1096bf
5041,9875,Blaze Bhence,BLAZE BHENCE,False,,,#32AB34
5041,9883,Jimmy Fuller,JIMMY FULLER,False,,,#F8BD0E
5041,10005,Steve Mauss,STEVE MAUSS,False,,,#dc2e07
5041,10076,Carrie Katsumata Hayashida,CARRIE KATSUMATA HAYASHIDA,False,,,#1096bf
5041,10239,Frances Marquez,FRANCES MARQUEZ,False,,,#8e67a0
5041,10266,Cole Thompson,COLE THOMPSON,False,,,#0e80a4
5041,10272,Anne Hertz,ANNE HERTZ,False,,,#e47300
5041,10322,Rachel Strong,RACHEL STRONG,False,,,#5E5F8F
5041,10343,David Gersten,DAVID GERSTEN,False,,,#C7084D
